iter	Passed	Remaining
0	391	391044
1	526	262857
2	693	230381
3	807	200956
4	989	196865
5	1136	188244
6	1279	181512
7	1403	174050
8	1535	169050
9	1669	165319
10	1822	163861
11	1983	163323
12	2122	161172
13	2249	158449
14	2398	157488
15	2515	154675
16	2659	153780
17	2784	151906
18	2958	152741
19	3127	153250
20	3293	153516
21	3490	155161
22	3661	155523
23	3835	155994
24	3990	155642
25	4154	155648
26	4319	155654
27	4465	155008
28	4664	156185
29	4874	157602
30	5038	157506
31	5248	158774
32	5443	159520
33	5657	160743
34	5844	161128
35	5999	160666
36	6234	162262
37	6432	162851
38	6612	162946
39	6792	163023
40	6977	163210
41	7173	163626
42	7394	164577
43	7582	164746
44	7772	164959
45	7917	164194
46	8098	164217
47	8288	164388
48	8457	164153
49	8642	164211
50	8819	164111
51	8990	163903
52	9199	164382
53	9429	165183
54	9615	165208
55	9830	165712
56	9980	165116
57	10165	165098
58	10337	164869
59	10534	165041
60	10739	165322
61	10913	165105
62	11083	164838
63	11245	164467
64	11437	164518
65	11625	164519
66	11824	164656
67	12036	164971
68	12248	165261
69	12444	165327
70	12663	165690
71	12849	165615
72	13057	165812
73	13247	165771
74	13421	165537
75	13602	165376
76	13771	165076
77	13949	164887
78	14115	164565
79	14310	164570
80	14491	164411
81	14665	164185
82	14859	164171
83	15044	164052
84	15191	163531
85	15394	163610
86	15586	163573
87	15732	163045
88	15908	162835
89	16094	162731
90	16251	162334
91	16452	162377
92	16624	162137
93	16824	162155
94	17004	161988
95	17179	161772
96	17371	161716
97	17560	161632
98	17740	161451
99	17950	161557
100	18145	161511
101	18326	161343
102	18489	161021
103	18653	160708
104	18849	160666
105	19033	160527
106	19224	160447
107	19374	160015
108	19568	159957
109	19735	159678
110	19899	159371
111	20066	159094
112	20206	158612
113	20399	158543
114	20576	158350
115	20716	157870
116	20898	157724
117	21089	157634
118	21254	157357
119	21420	157086
120	21585	156806
121	21749	156526
122	21923	156316
123	22090	156059
124	22258	155806
125	22380	155240
126	22505	154706
127	22628	154158
128	22789	153875
129	22964	153686
130	23157	153614
131	23300	153215
132	23490	153132
133	23663	152928
134	23813	152584
135	24014	152564
136	24189	152377
137	24365	152197
138	24522	151898
139	24689	151664
140	24886	151614
141	25028	151226
142	25216	151121
143	25405	151023
144	25516	150458
145	25658	150085
146	25837	149926
147	26028	149840
148	26185	149555
149	26395	149572
150	26549	149273
151	26753	149255
152	26921	149038
153	27111	148934
154	27288	148766
155	27435	148435
156	27605	148225
157	27737	147816
158	27918	147668
159	28086	147452
160	28312	147541
161	28509	147476
162	28665	147197
163	28829	146960
164	29005	146787
165	29184	146626
166	29342	146360
167	29505	146124
168	29679	145939
169	29841	145697
170	30000	145441
171	30175	145263
172	30374	145198
173	30559	145070
174	30765	145038
175	30971	145004
176	31165	144911
