iter	RMSE
0	875.7197985
1	839.0398989
2	804.9619008
3	772.8426846
4	742.2085025
5	713.3024715
6	685.5057494
7	659.3704716
8	634.871315
9	611.8389709
10	590.3967903
11	570.3714093
12	551.8059466
13	533.622787
14	516.6222836
15	501.1991447
16	486.4461664
17	472.8368592
18	459.8220601
19	447.6290043
20	435.7076866
21	424.8787777
22	414.7283739
23	405.286167
24	396.333406
25	387.9919451
26	380.371921
27	373.626158
28	366.6257729
29	360.5278919
30	354.6329648
31	348.4124523
32	343.2895914
33	338.3088667
34	333.8040102
35	328.9677909
36	324.8133205
37	321.1021608
38	317.5637357
39	314.0401168
40	310.9035646
41	307.9268096
42	305.0750019
43	302.6644007
44	300.3162356
45	297.9865279
46	295.3596652
47	293.3187903
48	290.7810272
49	288.242105
50	285.8833964
51	284.015703
52	282.1515282
53	280.758733
54	278.8201423
55	277.2285707
56	275.5884704
57	274.1475212
58	272.7472167
59	271.5736731
60	270.5643468
61	269.0364809
62	268.0531081
63	266.9117176
64	265.4347115
65	264.1755815
66	263.1330352
67	262.1915503
68	261.4610373
69	260.4020282
70	259.616708
71	258.6287791
72	257.5244056
73	256.7976901
74	255.7982444
75	255.0552744
76	254.2233824
77	253.2842233
78	252.4431198
79	251.5539867
80	250.8072642
81	250.4400234
82	249.5891187
83	248.8835878
84	248.4257635
85	247.8647148
86	247.3041187
87	246.9576494
88	246.4100375
89	245.8225852
90	245.0934387
91	244.4974985
92	243.9226536
93	243.4072056
94	242.9034938
95	242.387826
96	241.9386276
97	241.5382122
98	241.0114251
99	240.5800398
100	240.0804265
101	239.5219662
102	239.2327188
103	238.9964652
104	238.3829613
105	238.1456775
106	237.7165208
107	237.2266052
108	236.8783058
109	236.5388693
110	236.4225454
111	236.1279904
112	235.4601987
113	235.0359341
114	234.5317101
115	234.4166299
116	234.1356513
117	233.8485552
118	233.2649847
119	232.8230521
120	232.5056171
121	231.9262768
122	231.5397372
123	231.2378566
124	230.983451
125	230.7003639
