iter	Passed	Remaining
0	323	323382
1	422	211003
2	563	187228
3	644	160452
4	783	155961
5	878	145537
6	975	138344
7	1059	131389
8	1158	127594
9	1252	123967
10	1364	122688
11	1467	120832
12	1569	119148
13	1660	116979
14	1765	115925
15	1849	113732
16	1950	112762
17	2043	111471
18	2207	113975
19	2347	115046
20	2447	114110
21	2590	115147
22	2721	115624
23	2844	115691
24	2957	115348
25	3073	115127
26	3201	115362
27	3306	114772
28	3452	115594
29	3599	116380
30	3712	116033
31	3873	117183
32	4024	117930
33	4184	118876
34	4330	119386
35	4448	119116
36	4594	119589
37	4727	119685
38	4872	120062
39	5014	120340
40	5159	120673
41	5307	121064
42	5454	121395
43	5601	121714
44	5764	122337
45	5901	122388
46	6072	123128
47	6236	123684
48	6385	123933
49	6559	124633
50	6711	124880
51	6859	125059
52	7007	125206
53	7164	125512
54	7331	125974
55	7528	126915
56	7670	126902
57	7822	127043
58	7953	126846
59	8118	127190
60	8298	127743
61	8449	127827
62	8607	128016
63	8757	128073
64	8914	128233
65	9083	128539
66	9247	128781
67	9396	128784
68	9569	129114
69	9707	128974
70	9843	128798
71	9991	128783
72	10159	129007
73	10316	129095
74	10458	128986
75	10609	128990
76	10751	128873
77	10899	128835
78	11042	128741
79	11206	128873
80	11351	128791
81	11486	128597
82	11647	128687
83	11803	128711
84	11919	128312
85	12094	128544
86	12268	128747
87	12386	128365
88	12549	128458
89	12741	128827
90	12895	128811
91	13073	129025
92	13232	129050
93	13399	129146
94	13567	129248
95	13735	129345
96	13907	129471
97	14086	129651
98	14253	129725
99	14400	129607
100	14568	129671
101	14711	129518
102	14854	129367
103	15014	129351
104	15179	129384
105	15354	129499
106	15538	129681
107	15678	129492
108	15852	129583
109	16004	129492
110	16146	129317
111	16304	129273
112	16421	128899
113	16594	128971
114	16772	129075
115	16905	128830
116	17072	128848
117	17237	128839
118	17402	128836
119	17529	128550
120	17660	128295
121	17807	128154
122	17980	128204
123	18145	128192
124	18306	128148
125	18407	127686
126	18505	127203
127	18607	126762
128	18760	126667
129	18915	126591
130	19082	126586
131	19185	126161
132	19347	126120
133	19500	126026
134	19639	125839
135	19837	126025
136	19991	125929
137	20153	125885
138	20284	125649
139	20411	125387
140	20558	125248
141	20674	124921
142	20825	124807
143	21000	124834
144	21100	124419
145	21213	124085
146	21366	123981
147	21543	124019
